#date,#size
01/11/2022,169463070809
02/11/2022,169898868318
03/11/2022,170329979629
04/11/2022,170762626982
05/11/2022,170951809730
06/11/2022,170965365345
06/11/2022,170973740276
07/11/2022,170977913790
08/11/2022,170992790740
09/11/2022,171007400519
10/11/2022,171019969667
11/11/2022,171033267817
12/11/2022,171046285087
13/11/2022,171062547994
14/11/2022,171076286352
15/11/2022,171087535725
16/11/2022,171098536581
17/11/2022,171110322573
18/11/2022,171122891887
19/11/2022,171135201387
20/11/2022,171147251057
21/11/2022,171158251902
22/11/2022,171170559686
23/11/2022,171181558298
24/11/2022,171193604483
25/11/2022,171204607607
26/11/2022,171214823455
27/11/2022,171232106908
28/11/2022,171244412213
29/11/2022,171258032527
30/11/2022,171269292668
30/11/2022,171275042984
01/12/2022,171282639708
02/12/2022,171295460066
03/12/2022,171306978737
04/12/2022,171318503815
