#date,#size
01/11/2022,120515214168
02/11/2022,120862458395
03/11/2022,121231220960
04/11/2022,121587853184
05/11/2022,121729167730
06/11/2022,121747178278
06/11/2022,121753460306
07/11/2022,121757372367
08/11/2022,121769063611
09/11/2022,121781015293
10/11/2022,121791726461
11/11/2022,121804025402
12/11/2022,121819713424
13/11/2022,121829929220
14/11/2022,121843433981
15/11/2022,121855219604
16/11/2022,121865412495
17/11/2022,121877184948
18/11/2022,121889960271
19/11/2022,121901089546
20/11/2022,121915478559
21/11/2022,121925407168
22/11/2022,121947788969
23/11/2022,121966087307
24/11/2022,121975759204
25/11/2022,121985184813
26/11/2022,121998736569
27/11/2022,122008681771
28/11/2022,122020976530
29/11/2022,122031949034
30/11/2022,122049328820
30/11/2022,122055268970
01/12/2022,122066431576
02/12/2022,122078446173
03/12/2022,122089925738
04/12/2022,122099596302
